date,trade_number_in_day,profit,points,direction,entry_hour,entry_weekday,entry_adx,entry_slope,entry_ma_distance,entry_vol_exp,entry_bb_width
2024-04-19,1,2065.0,413.0,1,10,4,20.822293183654,61.85436297877459,171.58254808495985,1.3599826200304148,0.0030225889144907966
2024-04-19,2,-150.0,-30.0,-1,13,4,13.64741822717312,11.655228172894567,115.95424602495041,0.6987475280158207,0.0019419684590985414
2024-04-22,1,-1795.0,-359.0,-1,11,0,25.147935776793627,-11.976690264767967,333.33133417906356,0.9029555503839889,0.00501545282213821
2024-04-22,2,740.0,148.0,1,12,0,17.764223091486606,-2.4814823149936274,111.44973878376186,0.6828087167070218,0.002978579514078446
2024-04-23,1,325.0,65.0,-1,10,1,33.58332181714176,-32.005502723885,395.69227481877897,1.3394777265745008,0.006506077733802415
2024-04-23,2,440.0,88.0,1,12,1,20.564470888130717,-9.786789881036384,49.09954047654173,0.7310215557638238,0.002877603362660312
2024-04-24,1,-1385.0,-277.0,1,10,2,20.747172807788143,-30.38281842696597,17.95984513644362,1.1481056257175661,0.003070964686586671
2024-04-24,2,-940.0,-188.0,-1,11,2,25.470137290669978,-13.992462100228295,214.41110398000455,0.9120951751487112,0.0031196728441255533
2024-04-25,1,-3625.0,-725.0,-1,10,3,24.07807289989205,-20.422854048840236,550.7847742808226,1.1898374625216979,0.0083271516609406
2024-04-25,2,-355.0,-71.0,1,12,3,23.742461142846167,47.18207967947819,332.9383479488315,0.5529473135106938,0.004387147791345106
2024-04-26,1,6515.0,1303.0,1,10,4,36.14255179505067,31.207593911123695,392.645814831747,1.2453245324532454,0.00624859563788176
2024-04-26,2,380.0,76.0,-1,17,4,28.341570437016603,-8.648123223916627,119.02655472329934,0.6639427987742594,0.001923156882117027
2024-04-29,1,1150.0,230.0,1,12,0,20.75561922449265,19.582563333475264,103.95546095192549,0.8308157099697886,0.0016651617535431
2024-04-29,2,-325.0,-65.0,-1,16,0,19.815011696643655,10.254013362922706,13.349386785033857,0.5942142298670836,0.001220374065877988
2024-04-30,1,5070.0,1014.0,-1,10,1,24.621336686603613,-13.80767660625861,202.3407221463276,0.5776379754074922,0.0033983530061678846
2024-04-30,2,-500.0,-100.0,1,15,1,21.06168550977926,6.606854785379255,74.19162847756525,0.8241999123191582,0.0011959395140997016
2024-05-02,1,-2685.0,-537.0,1,10,3,56.08696413042259,42.51986248017056,515.3967405555304,1.167993932499052,0.009341434889182435
2024-05-02,2,145.0,29.0,-1,11,3,32.57907696214217,24.946858883224195,264.35886410434614,1.1364789446981227,0.004324864822654063
2024-05-03,1,-235.0,-47.0,1,10,4,39.53120616199976,22.89136693466571,785.2440560708637,0.5427332494055113,0.013949581730537607
2024-05-03,2,85.0,17.0,-1,11,4,36.16127814754051,19.91608233648003,21.23575791728217,0.4584527220630372,0.0012657276326126649
2024-05-03,3,85.0,17.0,1,12,4,31.855540325104545,4.375446114456281,17.402977446909063,0.4861111111111111,0.0011271592783335179
2024-05-03,4,-500.0,-100.0,-1,14,4,18.521263577731226,13.015693674067734,38.348488981922856,0.8282828282828283,0.0017290060753743597
2024-05-03,5,-55.0,-11.0,1,15,4,19.835145463466183,-2.7491840157308616,78.18721225342597,0.945179584120983,0.001530170379726194
2024-05-06,1,-3655.0,-731.0,-1,10,0,25.08374279662265,-2.349001403024886,244.1754229592625,0.9239472030169705,0.00393635611262709
2024-05-06,2,410.0,82.0,1,11,0,32.694097835796626,12.489044137473684,311.61525202164194,0.7716490425835953,0.00468283039095862
2024-05-07,1,1330.0,266.0,1,10,1,23.227792424022706,112.58105631399667,218.3900604582741,1.4757512645046116,0.0029413569996099963
2024-05-07,2,-85.0,-17.0,-1,13,1,23.30803954387044,-17.8422215161263,60.53587584022898,0.9891196834817013,0.0010971468255670193
2024-05-08,1,-6485.0,-1297.0,-1,10,2,57.71209235469957,-46.7942340640584,480.1563970770512,0.9618941916389196,0.007297015989864736
2024-05-08,2,-90.0,-18.0,1,11,2,43.25447083493621,46.108613492076984,485.6607841270161,0.6193921852387844,0.007116626190267149
2024-05-09,1,2065.0,413.0,-1,10,3,30.081247642560093,-31.422709001257317,613.3091639949125,0.6067365603390587,0.011432050655494724
2024-05-09,2,325.0,65.0,1,12,3,16.873676193717827,1.4887358037522063,122.80696154697216,0.6615944426066821,0.002172523491633132
2024-05-10,1,1180.0,236.0,-1,11,4,23.880915947000613,-63.72109378458117,272.40133914732723,0.5890603085553997,0.0039733693482153646
2024-05-10,2,475.0,95.0,1,14,4,23.151575584458477,-1.864520946808625,59.02951235868386,0.6595289079229122,0.0016334311143734479
2024-05-13,1,-585.0,-117.0,1,10,0,20.93932620440478,14.651561095030047,142.1080413342279,0.9573542210617929,0.0024487995661283094
2024-05-13,2,-645.0,-129.0,-1,12,0,28.720680206909513,-20.423580019763904,248.6390132542001,0.8647856357640162,0.003918265944042761
2024-05-14,1,-3505.0,-701.0,-1,10,1,27.52119625941635,-49.33590476153768,99.60876190618728,0.8508712378366147,0.0022102511788788808
2024-05-14,2,-30.0,-6.0,1,11,1,21.05731669041666,0.9269356110598892,257.5303527938959,0.5112987902305409,0.004035084487278192
2024-05-15,1,-1885.0,-377.0,-1,10,2,23.323675525456913,9.642083358106902,475.4254762894707,1.0305726998708196,0.012099231652372913
2024-05-15,2,-470.0,-94.0,1,12,2,18.697841041893255,-16.83979204375646,318.35916817505495,0.6109979633401222,0.005473940345743225
2024-05-16,1,-4865.0,-973.0,1,10,3,44.97627345427261,7.336129049479496,344.2745314212225,0.8257372654155496,0.005428896195578873
2024-05-16,2,-710.0,-142.0,-1,11,3,30.95367230470451,-3.9110125359729864,410.35594985604985,0.7379518072289157,0.006333684098447989
2024-05-17,0,765.0,153.0,1,16,4,20.232146862356743,10.200014661881141,44.19994135259185,1.0563029397110115,0.0012772534194523697
2024-05-21,1,-1505.0,-301.0,-1,13,1,20.431189974206326,-47.39389955243678,203.04344940921874,0.712130356065178,0.002675530034719178
2024-05-21,2,-265.0,-53.0,1,15,1,16.900842701374938,-3.9386852764873765,127.08807443932164,1.2123360510457284,0.0018049046882824547
2024-05-22,1,3125.0,625.0,-1,10,2,38.237345686567615,-13.896404261526186,247.27152581093833,1.5047181841366997,0.004514255158486447
2024-05-22,2,-150.0,-30.0,1,13,2,23.998068946654275,-4.110333156597335,6.06038024550071,0.5364736669937847,0.0011249818114168792
2024-05-23,1,-4690.0,-938.0,1,10,3,23.41095213170413,-36.712897081975825,64.23254070890835,1.4637451999096454,0.003114818417910776
2024-05-23,2,-120.0,-24.0,-1,11,3,34.57029105487409,-73.18004463150282,468.5655357596406,1.008174386920981,0.005930522708277782
2024-05-24,1,-385.0,-77.0,1,10,4,22.967650391663533,-15.582741475111106,76.14048971002921,1.0768261964735515,0.0016748446991457493
2024-05-24,0,5395.0,1079.0,-1,13,4,12.208118371680644,-1.5221741866262164,98.91130325340782,0.6497890295358649,0.0014594656739396873
2024-05-28,1,-4655.0,-931.0,1,10,1,60.37491176606003,14.66233795703738,456.01731483847834,1.6763378465506125,0.007633625493507847
2024-05-28,2,385.0,77.0,-1,11,1,35.463849824101835,-16.720784328412265,343.45019601960666,0.5636798723743685,0.005528180566884502
2024-05-29,1,415.0,83.0,-1,10,2,40.10729184463162,-56.43046861758921,202.18288743434823,1.7377049180327868,0.003283643598853947
2024-05-29,2,-115.0,-23.0,1,12,2,21.12777909821055,-31.7452955172339,109.93356302130269,1.2134831460674158,0.00220987245394233
2024-05-31,1,1265.0,253.0,-1,10,4,20.821807475210548,-56.43667520483723,94.5390134662448,1.258503401360544,0.0019502658712461651
2024-05-31,2,-60.0,-12.0,1,14,4,19.11318180609691,12.236603837722214,72.67263226825162,0.6557377049180328,0.0011772758252657175
2024-06-03,1,-2240.0,-448.0,-1,10,0,20.75475080106986,-38.77108263739501,126.53471706944401,1.1657559198542804,0.0021995595036009676
2024-06-03,2,-1210.0,-242.0,1,12,0,23.978634535152658,11.68559271079721,238.97191487118835,0.644718792866941,0.004834060996696172
2024-06-04,1,1090.0,218.0,-1,10,1,25.034708540240462,-50.34331581345759,50.721974841406336,1.9654556283502085,0.002288418745838502
2024-06-04,2,145.0,29.0,1,12,1,15.559664221303903,3.820263960864395,163.05227748997277,0.965103598691385,0.002680397092202319
2024-06-05,1,-2005.0,-401.0,1,12,2,20.54117014863159,35.457436578843044,216.55120606563287,0.5175600739371534,0.004190901211801193
2024-06-05,2,-90.0,-18.0,-1,13,2,14.853834445902754,-11.68152240323252,126.60724372035475,1.2833020637898687,0.002095390914574073
2024-06-06,1,2420.0,484.0,1,10,3,37.95930288332981,110.8314690789557,537.4360284461,0.8786779524385329,0.007168212076362094
2024-06-06,2,-380.0,-76.0,-1,16,3,17.678105325729522,19.862540903268382,55.97397313686088,2.2906116088819637,0.0016313106575618428
2024-06-07,1,-1830.0,-366.0,-1,10,4,27.30598322155391,-86.33587222255301,692.2755587287538,0.7426133670406068,0.010047807258102085
2024-06-07,2,-500.0,-100.0,1,11,4,15.951536476298644,-4.635165738407522,92.35018676324398,1.055690072639225,0.0025067045728514397
2024-06-10,1,1795.0,359.0,1,10,0,26.30440159937415,-32.8498802226386,75.11380660481518,1.0093457943925233,0.004120340886179952
2024-06-10,2,380.0,76.0,-1,13,0,10.133104301917333,18.594360812858213,61.23458610853413,0.7692307692307693,0.001674966795548348
2024-06-11,1,-1295.0,-259.0,1,11,1,20.47946544757458,44.96907561205444,196.93322136136703,0.6723044397463002,0.0035876168564305585
2024-06-11,2,150.0,30.0,-1,13,1,17.19829684576412,-17.124167916801525,8.789042618416715,0.923951670220327,0.0014852724093305022
2024-06-12,1,-115.0,-23.0,-1,11,2,38.194370486530744,-13.400044332200196,962.7331560044549,0.5632435057052683,0.015935027105018817
2024-06-12,2,-3250.0,-650.0,1,13,2,24.521408722727323,33.28054793400224,71.44923683538218,1.2750809061488673,0.0016191445334365513
2024-06-12,3,-550.0,-110.0,-1,15,2,26.583857330930247,-40.77491222025128,319.0432082618063,1.3222821896684658,0.004731542225173578
2024-06-13,1,-2755.0,-551.0,-1,11,3,23.734066995372455,-4.700805490225321,313.53011137244175,0.5705371071985736,0.00526990392790086
2024-06-13,2,-145.0,-29.0,1,13,3,24.753064076161422,8.598030815832317,252.84597197486437,0.8049965301873698,0.004485890619077533
2024-06-14,1,-5830.0,-1166.0,-1,10,4,33.00260269355999,-46.59894803882344,343.69944593991386,1.0398534127347687,0.005198543079849155
2024-06-14,2,-610.0,-122.0,1,12,4,36.06240337437008,2.978986276400974,495.32215013256064,0.710085933966531,0.008686623268454182
2024-06-17,1,-810.0,-162.0,1,13,0,24.732371210559208,34.54718828597106,299.3826754275942,1.1466227347611202,0.004067537722163373
2024-06-17,2,-405.0,-81.0,-1,15,0,16.7078721123065,-10.974885081435787,89.00522157893283,1.0930148389431777,0.0020477898016840737
2024-06-18,1,-5885.0,-1177.0,-1,10,1,30.090670109187243,16.60306333983317,12.650348597439006,1.2451790633608815,0.002170732892380852
2024-06-18,2,-925.0,-185.0,1,10,1,26.80833689970173,126.24361621460412,473.26363037974807,1.0089141004862237,0.006465733691178591
2024-06-19,0,8815.0,1763.0,1,13,2,20.549770985757597,32.73506732689566,175.53592116865912,0.9258589511754068,0.002624023632226731
2024-06-21,1,-5395.0,-1079.0,-1,10,4,20.77521720515605,8.255744842317654,142.0229793692415,1.6086065573770494,0.002205735781757061
2024-06-21,2,1220.0,244.0,1,11,4,28.022294404022585,29.482271699991543,460.4518655810389,0.614695705271728,0.00742490554088906
2024-06-24,1,1625.0,325.0,1,10,0,21.72488842383568,120.56110466248356,260.8984384929063,1.9263769720453916,0.003642551695871631
2024-06-24,2,670.0,134.0,-1,12,0,25.348541791243868,10.82683023167192,76.87874949802062,1.0794730131746706,0.0013730928210163743
2024-06-25,1,-1825.0,-365.0,-1,12,1,20.099961962645555,-45.01704666094156,172.50324192768312,0.7471819645732689,0.0024099461761588896
2024-06-25,2,-495.0,-99.0,1,14,1,12.28049836198223,23.29450704844203,76.34578133001924,0.9914794732765299,0.0014196791557356877
2024-06-26,1,350.0,70.0,-1,10,2,33.070892832592456,-57.35432326068985,332.8208021952596,1.2224448897795592,0.004952694801707184
2024-06-26,2,550.0,110.0,1,12,2,16.372717976587683,-12.96699741712655,39.39179919232265,0.7917007917007917,0.0019059406189714718
2024-06-27,1,520.0,104.0,1,10,3,32.14248901768545,-21.88760918652406,184.93138912707218,0.5473998507091317,0.004673189119307064
2024-06-27,2,-665.0,-133.0,-1,12,3,21.944625435310684,26.201847555290442,196.90262831642758,0.8825121819166216,0.0038554253253011207
2024-06-28,1,-2900.0,-580.0,-1,10,4,22.771612578683822,-104.18367335194489,233.26530659213313,1.219361483007209,0.0031526798976128398
2024-06-28,2,-405.0,-81.0,1,12,4,19.411732654643075,22.62857066624565,277.3904792398389,0.5849802371541502,0.004901139256585505
2024-07-01,1,6235.0,1247.0,1,10,0,24.025644441772265,-69.50470160780242,68.16166357410839,1.401077752117013,0.004609383958383913
